word	TextCount	TextLength
abb?he	1	6
abbuhetv?	1	9
abbuheyya	1	9
abb?heyya	1	9
Abbuhi	4	6
abbuhi	2	6
abbuh?ti	1	8
abbuhitv?	1	9
abbula?	1	7
abbu?apall?	1	11
abbu?esiko	1	10
abbu?esito	1	10
abbulha	4	7
abbu?ha	3	7
abb?lha	2	7
abb??ha	1	7
abb??h?ghagata?	1	15
abbu?ha?	1	8
Abb??ha?	3	8
abb??ha?	3	8
abb??han	1	8
abb??hasall?ha?	2	15
abb??hasall?smi	1	15
Abb??hasallo	2	12
abb??hasallo	11	12
abbu?hesiko	15	11
abb??hesiko	5	11
abbu?hi	1	7
abb??hitasallo	1	14
abb??hanahetu	1	13
abb??heyya	1	10
abbuss?na?	1	10
abb?ta?	1	7
abbuyha	14	7
abb?yha	1	7
abb?yh?	1	7
abbuyhitv?	1	10
abbyahanahetu	2	13
abbyaheyya	1	10
abbyahi	1	7
abby?pajjh?	1	11
ABC	157	3
abc	4	3
ABCD	4	4
abcd	1	4
ABCDa	4	5
ABD	33	3
abd	1	3
ABDa	2	4
ABDb	2	4
abejja	1	6
abh	14	3
?bh	2	3
abha	1	4
Abh?	1	4
abh?	10	4
?bha	2	4
?bh?	1	4
?bh?	25	4
abhab	1	5
abhabb	1	6
abhabba	1	7
Abhabb?	1	7
abhabb?	37	7
abhabb?bh?sa?	1	13
abhabb?bh?san	1	13
abhabb?gamamo	1	13
abhabb?gaman?	1	13
abhabb?gama?o	1	13
abhabbak?tun	1	12
abhabba?	2	8
abhabb?pattiko	1	14
abhabbapuggalena	1	16
abhabbar?po	1	11
abhabbat?	12	9
abhabba??h?n?ni	4	15
abhabba??h?n?n?	4	15
abhabba??h?nant?	1	16
abhabbe	1	7
Abhabbo	40	7
abhabbo	301	7
abhabbuppattik?	28	15
abhabbuppattika?	16	16
abhabbuppattik?ni	13	17
abhabbuppattiko	9	15
abhabhaggehi	1	12
abhabhuppattik?	1	15
abhaddaka?	1	10
?bh?dh?tu	1	9
?bh?dh?tu	4	9
?bh?dhiko	2	9
?bh?dho	1	7
abhaharitv?	1	11
abhajanabh?va?	1	14
abhajanta?	2	10
abhajantan	1	10
abhajanto	3	9
abhajato	2	8
abhajitabbe	8	11
abh?jite	5	8
abh?jiyam?na?	1	13
abhajjacittona	1	14
abhajjo	3	7
abhakkh?na?	1	11
abhakkhasammatabh?va?	1	21
abhakkho	3	8
abh?ku?ik?	1	10
?bha?	1	5
?bham??amehiti	1	14
?bhami	1	6
?bhan	1	5
?bh?na?	1	7
?bh?n?natta?	3	12
?bh?n?nattañ	3	12
abha?anta?	1	10
abha?ant?na?	1	12
abhañcatha	1	10
abha??anam	2	10
abha??ante	1	10
?bhandhitv?	1	11
abha?i	9	6
abha??	3	6
abh??i	6	6
abh???	2	6
?bha?i	1	6
abhani?	1	7
abh??i?	7	7
abhañjanass	1	11
abhañjatha	1	10
abhañji	1	7
abhaññ?	1	7
?bhañña?su	1	10
abhaññ?su?	1	10
Abhanta?	1	8
abhantaran	1	10
?bhanti	9	7
abhanto	2	7
?bh?pabh?	1	9
abhappuppattika?	1	16
?bhara??	2	8
?bhara?abha??akan	1	17
?bharanabha??am	1	15
?bhara?abha??am	1	15
?bhara?abha??a?	6	15
?bhara?abh?va?	1	14
?bhara?adhare	1	13
?bhara??d?ni	1	12
?bhara?a?	6	9
?bhara??ni	12	10
?bhara?avikatiyo	1	16
abhari	2	6
abhar?	2	6
abhari?	1	7
abh?ri?	2	7
abh?s	3	5
?bhas	1	5
abh?sam?nam	1	11
abh?sam?no	5	10
?bh?sam?no	1	10
abh?sam?sino	1	12
abh?saneyya?	2	12
abhas?resi	1	10
abh?sasi	1	8
abh?sas?ti	1	10
abhasatha	1	9
abh?satha	58	9
